2017-04-14 08:30:22.682 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-04-14 08:30:23.759 [main] INFO  com.gd.MaApplication - Starting MaApplication on chenxiao with PID 7292 (E:\git\IM-WEB\command\target\classes started by Administrator in E:\git\IM-WEB\command)
2017-04-14 08:30:23.759 [main] INFO  com.gd.MaApplication - No active profile set, falling back to default profiles: default
2017-04-14 08:30:24.227 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2017-04-14 08:30:24.564 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@23e84203: startup date [Fri Apr 14 08:30:24 CST 2017]; root of context hierarchy
2017-04-14 08:30:27.016 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d745182e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-04-14 08:30:27.305 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$20574e4c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-04-14 08:30:27.864 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @6990ms
2017-04-14 08:30:28.203 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 9090
2017-04-14 08:30:28.203 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.14.v20161028
2017-04-14 08:30:28.313 [main] INFO  application - Initializing Spring embedded WebApplicationContext
2017-04-14 08:30:28.313 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3749 ms
2017-04-14 08:30:28.622 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-04-14 08:30:28.622 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-04-14 08:30:28.622 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-04-14 08:30:28.622 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2017-04-14 08:30:28.622 [main] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
2017-04-14 08:30:28.622 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2017-04-14 08:30:28.852 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.s.b.c.e.j.JettyEmbeddedWebAppContext@559991f5{/v1.0/ma,file:///C:/Users/Administrator/AppData/Local/Temp/jetty-docbase.4139010179347246477.9090/,AVAILABLE}
2017-04-14 08:30:28.852 [main] INFO  org.eclipse.jetty.server.Server - Started @7980ms
2017-04-14 08:30:28.882 [main] INFO  o.s.cache.ehcache.EhCacheManagerFactoryBean - Initializing EhCache CacheManager
2017-04-14 08:30:32.584 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/hello/hello]}" onto public java.lang.String com.gd.api.HelloController.hello()
2017-04-14 08:30:32.584 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/add],methods=[POST]}" onto public java.lang.String com.gd.controller.account.AccountController.add(java.security.Principal,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gd.domain.account.Account)
